#      dist        eig   iband        s       pz       px       py    dz2r2      dxz      dyz      dxy    dx2y2      fm0     f+m1     f-m1     f+m2     f-m2     f+m3     f-m3  
    0.26140    6.52450       5    1.572    3.870    3.870    9.625    0.902    0.012    0.917    0.917    0.372    0.014    0.012    0.022    0.001    0.019    0.021    0.030
    0.26140    7.76162       6   10.096    4.405    4.405    7.018    0.302    0.004    0.951    0.951    0.475    0.031    0.030    0.023    0.019    0.022    0.022    0.014
    0.27276   -9.25942       3    6.348    9.145    9.145    3.142    0.108    0.007    0.167    0.167    0.071    0.012    0.004    0.012    0.006    0.000    0.008    0.008
    0.27276   -7.38971       4    0.249    6.513    6.513   14.277    0.174    0.205    0.037    0.037    0.080    0.008    0.020    0.003    0.001    0.013    0.001    0.003
    0.27276    6.46985       5    1.568    4.065    4.065    9.279    0.907    0.011    0.910    0.910    0.373    0.014    0.011    0.022    0.001    0.018    0.021    0.031
    0.27276    7.69742       6   10.275    4.385    4.385    6.904    0.294    0.004    0.953    0.953    0.481    0.031    0.030    0.022    0.019    0.021    0.022    0.014
    0.28413   -9.10103       3    6.313    9.328    9.328    2.978    0.107    0.009    0.173    0.173    0.072    0.012    0.003    0.013    0.006    0.000    0.009    0.008
    0.28413   -7.26145       4    0.236    6.492    6.492   14.521    0.171    0.212    0.039    0.039    0.081    0.008    0.021    0.003    0.001    0.013    0.001    0.003
    0.28413    6.41953       5    1.558    4.266    4.266    8.930    0.913    0.011    0.904    0.904    0.375    0.015    0.011    0.022    0.001    0.017    0.021    0.031
    0.28413    7.63464       6   10.440    4.363    4.363    6.803    0.287    0.005    0.956    0.956    0.486    0.032    0.030    0.021    0.019    0.020    0.022    0.013
    0.29550   -8.93361       3    6.241    9.504    9.504    2.819    0.108    0.010    0.175    0.175    0.072    0.013    0.004    0.014    0.007    0.000    0.009    0.008
    0.29550   -7.12714       4    0.217    6.453    6.453   14.778    0.167    0.211    0.040    0.040    0.080    0.009    0.022    0.003    0.001    0.015    0.001    0.004
    0.29550    6.38694       5    1.524    4.410    4.410    8.594    0.928    0.014    0.894    0.894    0.381    0.015    0.008    0.021    0.001    0.015    0.022    0.029
    0.29550    7.57536       6   10.606    4.344    4.344    6.695    0.278    0.005    0.957    0.957    0.490    0.032    0.030    0.020    0.020    0.019    0.021    0.013
    0.30686   -8.77060       3    6.154    9.697    9.697    2.676    0.107    0.012    0.180    0.180    0.073    0.013    0.004    0.014    0.007    0.000    0.010    0.009
    0.30686   -7.00265       4    0.203    6.428    6.428   15.032    0.162    0.218    0.042    0.042    0.081    0.009    0.023    0.003    0.001    0.015    0.001    0.004
    0.30686    6.34581       5    1.507    4.625    4.625    8.240    0.934    0.013    0.888    0.888    0.382    0.016    0.008    0.021    0.001    0.014    0.022    0.029
    0.30686    7.51543       6   10.747    4.317    4.317    6.617    0.272    0.005    0.960    0.960    0.495    0.033    0.030    0.019    0.020    0.018    0.021    0.012
    0.31823   -8.60578       3    6.045    9.893    9.893    2.542    0.106    0.014    0.185    0.185    0.073    0.013    0.003    0.015    0.007    0.000    0.010    0.009
    0.31823   -6.88018       4    0.189    6.400    6.400   15.291    0.157    0.226    0.045    0.045    0.081    0.009    0.023    0.004    0.001    0.016    0.001    0.004
    0.31823    6.30906       5    1.486    4.847    4.847    7.883    0.940    0.012    0.882    0.882    0.383    0.016    0.007    0.021    0.001    0.013    0.022    0.029
    0.31823    7.45710       6   10.878    4.288    4.288    6.548    0.266    0.006    0.962    0.962    0.500    0.034    0.030    0.018    0.020    0.017    0.021    0.011
    0.32959   -8.43952       3    5.915   10.095   10.095    2.415    0.105    0.016    0.190    0.190    0.074    0.014    0.003    0.015    0.006    0.000    0.011    0.009
    0.32959   -6.75992       4    0.175    6.369    6.369   15.553    0.152    0.234    0.047    0.047    0.082    0.009    0.024    0.004    0.001    0.016    0.001    0.005
    0.32959    6.27667       5    1.460    5.077    5.077    7.524    0.947    0.012    0.876    0.876    0.383    0.017    0.007    0.021    0.001    0.012    0.023    0.029
    0.32959    7.40040       6   10.997    4.259    4.259    6.488    0.261    0.007    0.964    0.964    0.505    0.035    0.031    0.017    0.019    0.017    0.021    0.011
    0.34096   -8.27216       3    5.766   10.301   10.301    2.293    0.105    0.018    0.195    0.195    0.074    0.014    0.003    0.015    0.006    0.001    0.011    0.010
    0.34096   -6.64206       4    0.160    6.336    6.336   15.819    0.147    0.242    0.049    0.049    0.082    0.009    0.024    0.004    0.001    0.016    0.001    0.005
    0.34096    6.24863       5    1.429    5.314    5.314    7.163    0.954    0.011    0.870    0.870    0.384    0.018    0.006    0.021    0.002    0.012    0.023    0.029
    0.34096    7.34538       6   11.106    4.230    4.230    6.436    0.256    0.008    0.966    0.966    0.510    0.035    0.031    0.016    0.019    0.016    0.020    0.010
    0.35232   -8.10405       3    5.601   10.512   10.512    2.177    0.104    0.020    0.200    0.200    0.074    0.014    0.003    0.016    0.006    0.001    0.012    0.010
    0.35232   -6.52678       4    0.146    6.300    6.300   16.087    0.142    0.250    0.051    0.051    0.083    0.009    0.025    0.004    0.001    0.017    0.001    0.005
    0.35232    6.22488       5    1.395    5.558    5.558    6.802    0.960    0.010    0.865    0.865    0.384    0.018    0.006    0.020    0.002    0.011    0.023    0.029
    0.35232    7.29206       6   11.203    4.201    4.201    6.393    0.251    0.008    0.968    0.968    0.515    0.036    0.031    0.015    0.019    0.015    0.020    0.010
    0.36369   -7.93552       3    5.420   10.727   10.727    2.064    0.104    0.022    0.204    0.204    0.074    0.014    0.003    0.016    0.005    0.001    0.013    0.010
    0.36369   -6.41427       4    0.132    6.261    6.261   16.356    0.137    0.258    0.054    0.054    0.083    0.009    0.025    0.004    0.001    0.017    0.001    0.006
    0.36369    6.20536       5    1.357    5.810    5.810    6.439    0.967    0.010    0.859    0.859    0.384    0.019    0.006    0.020    0.002    0.010    0.023    0.028
