#           eng            dos          occup          e_sum
        4.92000        0.55792        8.98350       38.03371
        4.96000        0.62044        9.00695       38.46999
        5.00000        0.71067        9.03351       38.96572
        5.04000        0.80065        9.06380       39.53181
        5.08000        0.85876        9.09714       40.15601
        5.12000        0.86301        9.13177       40.80528
        5.16000        0.81016        9.16541       41.43665
        5.20000        0.71864        9.19606       42.01286
        5.24000        0.62327        9.22285       42.51729
        5.28000        0.56126        9.24637       42.96151
        5.32000        0.55576        9.26851       43.38087
        5.36000        0.60697        9.29160       43.81972
        5.40000        0.69477        9.31756       44.31447
        5.44000        0.78804        9.34725       44.88147
        5.48000        0.85521        9.38025       45.51254
        5.52000        0.87516        9.41503       46.17864
        5.56000        0.84621        9.44960       46.84161
        5.60000        0.78727        9.48233       47.47016
        5.64000        0.72855        9.51259       48.05267
        5.68000        0.69751        9.54098       48.60057
        5.72000        0.70822        9.56895       49.14177
        5.76000        0.75743        9.59816       49.70845
        5.80000        0.82632        9.62982       50.32397
        5.84000        0.88800        9.66417       50.99329
        5.88000        0.91946        9.70045       51.70116
        5.92000        0.91197        9.73720       52.41949
        5.96000        0.87268        9.77298       53.11979
        6.00000        0.81833        9.80681       53.78337
        6.04000        0.76860        9.83850       54.40612
        6.08000        0.74205        9.86861       54.99920
        6.12000        0.75100        9.89835       55.58640
        6.16000        0.79495        9.92917       56.19659
        6.20000        0.85923        9.96222       56.85244
        6.24000        0.92364        9.99790       57.56198
        6.28000        0.97499       10.03593       58.31936
        6.32000        1.01232       10.07571       59.11324
        6.36000        1.04153       10.11681       59.93481
        6.40000        1.06692       10.15899       60.77973
        6.44000        1.08741       10.20210       61.64495
        6.48000        1.09857       10.24585       62.52484
        6.52000        1.09730       10.28981       63.41042
        6.56000        1.08578       10.33350       64.29213
        6.60000        1.07164       10.37664       65.16456
        6.64000        1.06397       10.41932       66.02938
        6.68000        1.06891       10.46193       66.89466
        6.72000        1.08787       10.50502       67.77156
        6.76000        1.11791       10.54911       68.67059
        6.80000        1.15267       10.59452       69.59842
        6.84000        1.18461       10.64128       70.55582
        6.88000        1.20830       10.68917       71.53808
        6.92000        1.22080       10.73780       72.53723
        6.96000        1.21683       10.78662       73.54224
        7.00000        1.18489       10.83477       74.53509
        7.04000        1.11308       10.88087       75.48715
        7.08000        1.00204       10.92329       76.36427
        7.12000        0.87132       10.96077       77.14067
        7.16000        0.75154       10.99314       77.81237
        7.20000        0.66973       11.02141       78.40026
        7.24000        0.63989       11.04742       78.94273
        7.28000        0.66170       11.07329       79.48384
        7.32000        0.72310       11.10088       80.06239
        7.36000        0.80365       11.13140       80.70345
        7.40000        0.87832       11.16510       81.41275
        7.44000        0.92321       11.20126       82.17497
        7.48000        0.92334       11.23835       82.95778
        7.52000        0.87931       11.27453       83.72245
        7.56000        0.80641       11.30831       84.43733
        7.60000        0.72505       11.33893       85.08664
        7.64000        0.65150       11.36642       85.67042
        7.68000        0.59732       11.39131       86.20029
        7.72000        0.57368       11.41461       86.69741
        7.76000        0.58966       11.43774       87.19217
        7.80000        0.64367       11.46230       87.71887
        7.84000        0.71964       11.48953       88.30410
        7.88000        0.79646       11.51988       88.95745
        7.92000        0.86409       11.55311       89.67423
        7.96000        0.93026       11.58898       90.44903
        8.00000        1.00931       11.62771       91.28742
        8.04000        1.10088       11.66991       92.20238
        8.08000        1.17771       11.71560       93.19486
        8.12000        1.19588       11.76334       94.23313
        8.16000        1.12287       11.81003       95.24982
        8.20000        0.96206       11.85198       96.16372
        8.24000        0.75360       11.88636       96.91353
        8.28000        0.55183       11.91236       97.48124
        8.32000        0.39903       11.93117       97.89256
        8.36000        0.31473       11.94520       98.20035
        8.40000        0.30177       11.95730       98.46668
        8.44000        0.35512       11.97023       98.75253
        8.48000        0.46142       11.98642       99.11144
        8.52000        0.59222       12.00748       99.57898
        8.56000        0.70499       12.03356      100.15863
        8.60000        0.76019       12.06310      100.81568
        8.64000        0.74460       12.09341      101.49052
        8.68000        0.68020       12.12201      102.12769
        8.72000        0.60896       12.14774      102.70212
        8.76000        0.56471       12.17110      103.22449
        8.80000        0.55489       12.19339      103.72434
        8.84000        0.56490       12.21575      104.22685
        8.88000        0.57688       12.23860      104.74118
        8.92000        0.58463       12.26184      105.26520
        8.96000        0.59385       12.28539      105.79718
        9.00000        0.61176       12.30947      106.34213
        9.04000        0.63723       12.33444      106.90829
        9.08000        0.65937       12.36041      107.49811
        9.12000        0.66417       12.38695      108.10201
        9.16000        0.64347       12.41319      108.69972
        9.20000        0.60014       12.43812      109.26837
        9.24000        0.54782       12.46108      109.79282
        9.28000        0.50655       12.48210      110.27380
        9.32000        0.49653       12.50203      110.73097
        9.36000        0.53271       12.52244      111.20055
        9.40000        0.62170       12.54535      111.72893
        9.44000        0.75955       12.57283      112.36412
        9.48000        0.92814       12.60653      113.14435
        9.52000        1.09292       12.64704      114.08344
        9.56000        1.20951       12.69332      115.15761
        9.60000        1.24116       12.74266      116.30373
        9.64000        1.17664       12.79132      117.43527
        9.68000        1.03496       12.83575      118.46946
        9.72000        0.85396       12.87359      119.35117
        9.76000        0.67281       12.90407      120.06226
        9.80000        0.52035       12.92780      120.61681
        9.84000        0.41250       12.94630      121.04976
        9.88000        0.35443       12.96147      121.40590
        9.92000        0.34169       12.97526      121.73046
        9.96000        0.36011       12.98923      122.06000
       10.00000        0.38884       13.00421      122.41420
